TabellarischeAuswertung von: 01.11.2023 00:00:00 bis: 20.11.2023 00:00:00;;;;;
Sps_datum;Trocknung-Durchfluss  7A Netz 700.1 [m³/min];Trocknung-Durchfluss  7B Netz 800.1 [m³/min];Trocknung-Durchfluss 7A Netz 700.5 [m³/min];Trocknung-Durchfluss 7A Netz 700.6 [m³/min];Trocknung-Durchfluss 7C Netz 900.1 [m³/min]
04.11.2023 05:52:24;NaN;47,23;42,55;79,47;32,48
04.11.2023 06:07:24;NaN;34,67;38,38;66,48;18,89
04.11.2023 06:22:24;NaN;28,98;33,81;55,09;17,67
04.11.2023 06:37:24;NaN;25,94;30,75;51,91;17,88
04.11.2023 06:52:24;NaN;28,53;28,24;40,16;13,66
04.11.2023 07:07:24;NaN;25,87;32,30;53,03;22,12
04.11.2023 07:22:24;NaN;23,45;31,63;51,78;15,33
04.11.2023 07:37:24;NaN;19,25;26,39;39,84;19,28
04.11.2023 07:52:24;NaN;11,80;33,08;54,36;25,60
04.11.2023 08:07:24;NaN;19,51;30,05;47,80;20,80
04.11.2023 08:22:24;NaN;19,43;26,47;37,85;20,78
04.11.2023 08:37:24;NaN;17,31;31,80;52,23;27,14
04.11.2023 08:52:24;NaN;26,25;30,89;51,17;28,06
04.11.2023 09:07:24;NaN;21,24;27,05;42,90;24,92
04.11.2023 09:22:24;NaN;41,87;46,28;91,60;29,40
04.11.2023 09:37:24;NaN;18,30;29,45;46,94;18,72
04.11.2023 09:52:24;NaN;20,91;32,13;52,64;19,56
04.11.2023 10:07:25;NaN;19,88;28,13;42,40;20,15
04.11.2023 10:22:25;NaN;22,14;31,03;50,34;17,98
04.11.2023 10:37:25;NaN;24,00;27,50;43,12;24,37
04.11.2023 10:52:25;NaN;22,05;29,14;46,16;18,54
04.11.2023 11:07:25;NaN;15,81;28,35;44,68;25,04
04.11.2023 11:22:25;NaN;20,56;27,68;43,00;14,17
04.11.2023 11:37:25;NaN;12,51;25,53;40,36;10,38
04.11.2023 11:52:25;NaN;19,90;23,73;33,43;15,44
04.11.2023 12:07:25;NaN;19,00;21,10;28,11;15,01
04.11.2023 12:22:25;NaN;21,46;21,62;28,90;14,51
04.11.2023 12:37:25;NaN;20,95;21,80;28,09;13,07
04.11.2023 12:52:25;NaN;26,27;31,77;52,69;16,19
04.11.2023 13:07:25;NaN;19,48;22,66;33,54;14,55
04.11.2023 13:22:25;NaN;21,30;23,57;32,95;13,87
04.11.2023 13:37:25;NaN;17,81;18,94;25,41;12,13
04.11.2023 13:52:25;NaN;18,11;20,06;26,02;11,60
04.11.2023 14:07:25;NaN;18,65;18,28;24,80;11,98
04.11.2023 14:22:25;NaN;19,18;18,91;24,75;11,96
04.11.2023 14:37:25;NaN;16,73;15,75;17,83;9,68
04.11.2023 14:52:25;NaN;20,04;17,06;22,17;11,21
04.11.2023 15:07:25;NaN;18,47;16,19;20,12;10,98
04.11.2023 15:22:25;NaN;17,75;13,91;17,08;10,25
04.11.2023 15:37:25;NaN;21,57;18,69;23,78;12,11
04.11.2023 15:52:25;NaN;17,17;13,61;17,36;10,36
04.11.2023 16:07:25;NaN;16,91;14,80;17,42;10,02
04.11.2023 16:22:25;NaN;16,84;15,42;17,41;10,14
04.11.2023 16:37:25;NaN;16,27;14,78;17,06;10,75
04.11.2023 16:52:25;NaN;18,47;16,42;19,35;11,75
04.11.2023 17:07:25;NaN;17,08;15,58;18,53;11,72
04.11.2023 17:22:25;NaN;21,45;18,99;23,12;11,64
04.11.2023 17:37:25;NaN;17,45;15,73;18,27;11,59
04.11.2023 17:52:25;NaN;16,13;15,66;17,50;10,48
04.11.2023 18:07:25;NaN;19,54;17,85;22,38;11,76
04.11.2023 18:22:25;NaN;19,76;15,91;21,08;10,56
04.11.2023 18:37:25;NaN;20,07;17,10;22,33;10,34
04.11.2023 18:52:25;NaN;16,01;15,61;17,50;10,50
